               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080323,            0.039774,            0.078853,             0.09712,             0.13169,            0.036164,            0.017137,            0.049503,            0.018936,            0.073119,            0.070395,           0.0032895,           0.0032895
                   1,            0.049905,            0.034651,            0.068782,             0.17729,              0.1008,              0.0631,            0.029723,            0.043295,            0.014197,            0.069102,            0.040369,           0.0065966,           0.0065966
                   2,            0.047171,             0.03124,            0.062731,             0.14481,             0.16306,            0.062616,            0.032481,            0.044837,            0.018672,             0.06658,            0.010316,           0.0098773,           0.0098773
                   3,            0.045921,            0.033109,            0.057143,            0.096518,             0.23439,            0.087986,            0.044299,            0.041296,            0.018271,            0.064925,           0.0098812,           0.0098812,           0.0098812
                   4,            0.044397,            0.032112,            0.052524,             0.26837,              0.2275,             0.15575,            0.077279,            0.044068,            0.017462,            0.065106,           0.0098812,           0.0098812,           0.0098812
                   5,            0.042301,            0.031614,            0.050835,             0.32022,             0.26207,             0.20171,             0.10476,            0.041902,            0.016522,            0.058562,           0.0098416,           0.0098416,           0.0098416
                   6,            0.041497,            0.032576,            0.048917,              0.3197,             0.28456,             0.22288,              0.1238,            0.039406,            0.018668,            0.054829,            0.009802,            0.009802,            0.009802
                   7,            0.040668,            0.031301,             0.04088,             0.38936,             0.34491,             0.30878,             0.15794,            0.039288,            0.016213,            0.051091,           0.0097624,           0.0097624,           0.0097624
                   8,            0.040225,            0.031611,            0.040918,             0.38459,             0.36637,             0.32416,             0.17862,            0.037998,            0.016463,            0.045397,           0.0097228,           0.0097228,           0.0097228
                   9,            0.039907,            0.031149,            0.037654,             0.36349,             0.37207,             0.33187,             0.17703,            0.040261,             0.01634,            0.046728,           0.0096832,           0.0096832,           0.0096832
                  10,            0.040131,            0.031484,             0.03513,             0.41584,             0.38214,             0.35878,             0.19896,            0.038507,            0.016461,            0.043567,           0.0096436,           0.0096436,           0.0096436
                  11,            0.039513,            0.031626,             0.03293,             0.41464,             0.40376,             0.37719,             0.20881,            0.038329,            0.015636,            0.042031,            0.009604,            0.009604,            0.009604
                  12,            0.038682,            0.030966,            0.032829,             0.36797,             0.37623,             0.34553,             0.19594,            0.038017,            0.016117,            0.038973,           0.0095644,           0.0095644,           0.0095644
                  13,            0.038714,             0.03102,            0.032604,             0.43473,             0.37027,             0.35522,             0.20024,            0.037331,            0.016019,            0.048149,           0.0095248,           0.0095248,           0.0095248
                  14,            0.038086,            0.031126,            0.031024,             0.37378,             0.33616,              0.2818,             0.14436,            0.039111,            0.016586,            0.054348,           0.0094852,           0.0094852,           0.0094852
                  15,            0.038021,            0.030807,            0.029086,             0.50134,             0.35716,             0.35982,             0.20516,            0.040115,            0.016669,            0.040575,           0.0094456,           0.0094456,           0.0094456
                  16,            0.038039,            0.030097,            0.027955,             0.45298,             0.40069,             0.38761,             0.21906,            0.037224,            0.017142,            0.039595,            0.009406,            0.009406,            0.009406
                  17,            0.037687,            0.030362,            0.028303,             0.45499,             0.42226,             0.40885,             0.24977,            0.036525,            0.015248,            0.041254,           0.0093664,           0.0093664,           0.0093664
                  18,            0.037159,            0.029906,            0.026948,             0.54606,             0.40516,             0.43454,             0.26215,            0.036312,            0.015326,            0.047039,           0.0093268,           0.0093268,           0.0093268
                  19,            0.037243,            0.029677,            0.026168,             0.49209,             0.47944,             0.46053,             0.27359,            0.035099,            0.015109,            0.033241,           0.0092872,           0.0092872,           0.0092872
                  20,             0.03672,            0.030071,            0.024689,             0.50224,             0.48464,             0.48857,             0.29999,            0.035579,            0.015019,            0.037504,           0.0092476,           0.0092476,           0.0092476
                  21,            0.036597,            0.029837,            0.023686,             0.48887,              0.4472,             0.45857,             0.28016,            0.035125,            0.015022,            0.040689,            0.009208,            0.009208,            0.009208
                  22,            0.037208,            0.029446,            0.023349,             0.53167,             0.48864,              0.4938,             0.28565,            0.037201,            0.015119,            0.030444,           0.0091684,           0.0091684,           0.0091684
                  23,            0.035145,            0.029481,            0.024504,             0.53625,             0.50897,             0.51734,             0.31471,            0.034424,            0.014897,            0.033316,           0.0091288,           0.0091288,           0.0091288
                  24,            0.035545,            0.029269,            0.023733,             0.46488,             0.47051,             0.44502,             0.25902,            0.034158,             0.01533,            0.040517,           0.0090892,           0.0090892,           0.0090892
                  25,            0.035833,            0.029662,            0.021625,             0.55687,             0.48816,             0.51309,              0.3093,            0.038398,            0.014944,            0.031338,           0.0090496,           0.0090496,           0.0090496
                  26,            0.034987,            0.029257,            0.022399,              0.5276,             0.50242,             0.49546,              0.3068,            0.034008,            0.014405,            0.038515,             0.00901,             0.00901,             0.00901
                  27,            0.035004,            0.029015,            0.020207,             0.51971,              0.5254,             0.52677,             0.32805,            0.034149,            0.014569,            0.031028,           0.0089704,           0.0089704,           0.0089704
                  28,            0.035352,            0.028316,            0.020268,             0.56412,             0.52016,             0.51716,             0.32119,            0.036321,            0.014811,             0.03407,           0.0089308,           0.0089308,           0.0089308
                  29,             0.03542,            0.027995,            0.019257,              0.5632,             0.51773,             0.53973,             0.34165,            0.034451,            0.014544,            0.030366,           0.0088912,           0.0088912,           0.0088912
                  30,            0.034976,            0.027899,            0.018898,             0.54141,             0.50851,             0.51522,             0.31448,            0.035156,            0.014959,            0.032458,           0.0088516,           0.0088516,           0.0088516
                  31,            0.033525,            0.027947,            0.020113,             0.55559,             0.55476,             0.55867,             0.35172,            0.032379,             0.01384,            0.028731,            0.008812,            0.008812,            0.008812
                  32,            0.033675,            0.027567,             0.01847,             0.55868,              0.5021,             0.51571,             0.33311,            0.033743,             0.01518,            0.035495,           0.0087724,           0.0087724,           0.0087724
                  33,            0.034133,             0.02723,            0.018129,             0.58161,             0.53373,             0.53648,             0.34349,            0.036734,            0.014771,            0.033441,           0.0087328,           0.0087328,           0.0087328
                  34,            0.034103,            0.027713,            0.018551,             0.55597,             0.45447,             0.47779,             0.29378,            0.033453,            0.014623,             0.03658,           0.0086932,           0.0086932,           0.0086932
                  35,             0.03388,            0.027776,            0.016992,               0.584,             0.54368,             0.56225,             0.35288,            0.033184,            0.014186,            0.030422,           0.0086536,           0.0086536,           0.0086536
                  36,            0.033755,            0.027627,            0.019153,             0.56849,             0.51478,             0.54726,             0.34349,            0.032094,            0.014259,             0.03256,            0.008614,            0.008614,            0.008614
                  37,            0.032934,            0.028029,            0.017913,             0.60681,             0.50686,             0.53337,             0.33077,            0.035523,            0.015977,             0.03519,           0.0085744,           0.0085744,           0.0085744
                  38,            0.033464,            0.027211,             0.01749,             0.51893,             0.53798,             0.51294,             0.33148,            0.033018,            0.014675,             0.03035,           0.0085348,           0.0085348,           0.0085348
                  39,            0.033433,            0.026823,            0.015418,             0.60909,             0.54455,             0.57564,             0.36516,            0.034912,            0.014846,            0.029985,           0.0084952,           0.0084952,           0.0084952
                  40,            0.032572,            0.026532,            0.015847,             0.56287,              0.5611,             0.56504,             0.36534,            0.033906,            0.014293,            0.029274,           0.0084556,           0.0084556,           0.0084556
                  41,            0.033058,             0.02737,            0.015499,             0.60225,             0.59439,              0.5896,             0.39076,             0.03287,            0.014188,            0.030299,            0.008416,            0.008416,            0.008416
                  42,            0.032461,            0.026977,            0.015481,             0.61781,             0.55156,             0.58303,             0.37352,            0.032915,              0.0142,            0.031524,           0.0083764,           0.0083764,           0.0083764
                  43,            0.032485,            0.026168,             0.01545,             0.54402,             0.57646,             0.53757,             0.34667,            0.033339,            0.014367,            0.032409,           0.0083368,           0.0083368,           0.0083368
                  44,            0.032385,            0.026459,            0.014295,             0.59851,             0.60996,             0.60121,             0.38079,            0.032281,            0.014294,            0.029676,           0.0082972,           0.0082972,           0.0082972
                  45,            0.031649,            0.026299,            0.013821,             0.58947,             0.60149,             0.60524,             0.40675,            0.032731,            0.014347,            0.030635,           0.0082576,           0.0082576,           0.0082576
                  46,            0.031443,            0.026441,            0.014389,             0.56627,             0.58523,             0.58415,             0.38475,             0.03153,            0.014263,            0.031044,            0.008218,            0.008218,            0.008218
                  47,            0.031513,            0.025962,            0.014476,             0.64333,             0.58671,             0.62024,             0.40779,            0.032055,            0.014424,            0.030531,           0.0081784,           0.0081784,           0.0081784
                  48,            0.032068,            0.026079,            0.013386,             0.57198,             0.57054,             0.56391,              0.3659,            0.032357,            0.014019,             0.03325,           0.0081388,           0.0081388,           0.0081388
                  49,            0.031549,            0.026384,            0.013603,             0.64539,             0.58377,             0.60957,             0.40273,            0.031806,            0.014223,             0.03416,           0.0080992,           0.0080992,           0.0080992
                  50,            0.031538,            0.026126,            0.014432,             0.62412,             0.57658,             0.61236,             0.39479,            0.032199,            0.014109,            0.028149,           0.0080596,           0.0080596,           0.0080596
                  51,            0.031303,            0.026255,            0.013865,             0.62305,             0.58397,             0.59412,             0.38539,            0.031965,            0.014237,            0.030777,             0.00802,             0.00802,             0.00802
                  52,            0.031625,            0.025787,            0.013174,             0.62937,             0.60229,             0.61543,              0.4069,            0.031291,            0.014661,             0.02721,           0.0079804,           0.0079804,           0.0079804
                  53,            0.030465,            0.025983,             0.01199,             0.58421,             0.61226,             0.61492,             0.40822,             0.03141,            0.013611,            0.028727,           0.0079408,           0.0079408,           0.0079408
                  54,             0.03089,            0.025576,             0.01253,             0.60554,              0.5911,             0.61237,             0.41395,            0.031887,             0.01378,            0.027568,           0.0079012,           0.0079012,           0.0079012
                  55,            0.031051,            0.025426,             0.01334,             0.58938,             0.57217,             0.58796,             0.39192,            0.032478,            0.014382,            0.035231,           0.0078616,           0.0078616,           0.0078616
                  56,             0.03132,            0.025336,            0.012181,             0.65718,             0.61434,             0.63284,             0.42403,            0.033027,            0.013962,            0.026622,            0.007822,            0.007822,            0.007822
                  57,             0.03087,            0.025711,            0.012607,             0.62927,             0.60837,              0.6257,             0.42399,            0.031627,            0.013978,            0.032558,           0.0077824,           0.0077824,           0.0077824
